brand_id,domain,candidate_page_url,link_text,asset_url,asset_type,confidence,notes
luckin,luckincoffee.com,https://luckincoffee.com/brand,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/brands,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/press,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/media,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/newsroom,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/about,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/assets,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/brand-assets,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/media-kit,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/press-kit,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
luckin,luckincoffee.com,https://luckincoffee.com/brand-guidelines,Get the APP,https://luckincoffee.com/app/download,unknown,low,matched keyword: download
toyota,toyota.com,https://toyota.com/about,SEE TOYOTA'S CODE OF CONDUCT >,https://toyota.com/content/dam/tusa/assets/pdfs/code-of-conduct-en.pdf,unknown,low,matched keyword: assets
porsche,porsche.com,https://porsche.com/newsroom,Press,https://porsche.com/en/downloads.html,press,low,matched keyword: download
porsche,porsche.com,https://porsche.com/newsroom,Press kits,https://porsche.com/en/press-kits.html,press,low,matched keyword: press kit
apple,apple.com,https://apple.com/about,Downloads and Software Updates,https://support.apple.com/downloads,unknown,low,matched keyword: download
xiaomi,mi.com,https://mi.com/about,下载app 小米商城APP,https://www.mi.com/appdownload/,unknown,low,matched keyword: download
microsoft,microsoft.com,https://microsoft.com/media,ダウンロード センター,https://www.microsoft.com/ja-jp/download,unknown,low,matched keyword: download
microsoft,microsoft.com,https://microsoft.com/about,Free downloads & security,https://www.microsoft.com/en-us/download,unknown,low,matched keyword: download
microsoft,microsoft.com,https://microsoft.com/about,Download Center,https://www.microsoft.com/en-us/download,unknown,low,matched keyword: download
nvidia,nvidia.com,https://nvidia.com/media,Logout,https://nvidia.com/,logo,medium,matched keyword: logo
nvidia,nvidia.com,https://nvidia.com/media,LogOut,https://nvidia.com/media#,media-kit,medium,matched keyword: logo
nvidia,nvidia.com,https://nvidia.com/media,Logout,https://nvidia.com/,logo,medium,matched keyword: logo
nvidia,nvidia.com,https://nvidia.com/media,LogOut,https://nvidia.com/media#,media-kit,medium,matched keyword: logo
snapchat,snapchat.com,https://snapchat.com/brand-guidelines,Download,https://assets.ctfassets.net/dwtpq5hdcqjg/6qV4VoAY1SjD6hxk61vzSz/78a428cbee68f4087c43f8626a7caa52/Snapchat_Web-Brand-Guidelines_September-2025.pdf,brand-assets,low,matched keyword: assets
snapchat,snapchat.com,https://snapchat.com/brand-guidelines,Brand Guidelines,https://snapchat.com/brand-guidelines?utm_source=snap_com&utm_medium=referral&utm_campaign=universal_navigation&utm_content=footer_item_link,brand-assets,medium,matched keyword: brand guidelines
pinterest,pinterest.com,https://pinterest.com/about,Download on iOS,https://apps.apple.com/us/app/pinterest/id429047995?utm_medium=organic_pinterest&utm_source=organicpins-about&utm_campaign=pbm_about-site_us_q12026_body_copy_links&up_id=5096d5f,unknown,low,matched keyword: download
pinterest,pinterest.com,https://pinterest.com/about,Download on Android,https://play.google.com/store/apps/details?id=com.pinterest&utm_medium=organic_pinterest&utm_source=organicpins-about&utm_campaign=pbm_about-site_us_q12026_body_copy_links&up_id=5096d60,unknown,low,matched keyword: download
pinterest,pinterest.com,https://pinterest.com/about,Apex Companies LLC.,https://assets.ctfassets.net/2pyx8rwuvz6x/3lJS17BPZxdUmhsfGdt0Nn/5e1ccdd37e63e9f29ffb38978ff3f825/Pinterest_2024_GHG_Verification_Statement.pdf,unknown,low,matched keyword: assets
pinterest,pinterest.com,https://pinterest.com/assets,assetsinternational.co.uk,http://assetsinternational.co.uk/,unknown,low,matched keyword: assets
pinterest,pinterest.com,https://pinterest.com/assets,Created,https://pinterest.com/assets/_created,unknown,low,matched keyword: assets
pinterest,pinterest.com,https://pinterest.com/assets,Saved,https://pinterest.com/assets/_saved,unknown,low,matched keyword: assets
pinterest,pinterest.com,https://pinterest.com/assets,"Spanish Property For Sale, 7 Pins·, 13y",https://pinterest.com/assets/spanish-property-for-sale/,unknown,low,matched keyword: assets
pinterest,pinterest.com,https://pinterest.com/assets,"H Hotel Barbados, 1 Pin·, 13y",https://pinterest.com/assets/h-hotel-barbados/,unknown,low,matched keyword: assets
pinterest,pinterest.com,https://pinterest.com/assets,"For the Home, 0 Pins·, 14y",https://pinterest.com/assets/for-the-home/,unknown,low,matched keyword: assets
