brand_id,name_en,name_zh,domain,similar_group,has_pure_symbol,svglogo_id,svglogo_title,svglogo_category_raw,svglogo_file_rel_path,svglogo_webp_file,svglogo_url,is_wordmark,variant,match_method,confidence,recommended,notes
agricultural_bank_of_china,Agricultural Bank of China,中国农业银行,abchina.com,bank_china,true,pay_abc,中国农业银行,pay,pay/ABC.svg,assets/_candidates/svglogo/pay/pay_abc.webp,https://www.abchina.com/,false,default,domain_url,high,true,
agricultural_bank_of_china,Agricultural Bank of China,中国农业银行,abchina.com,bank_china,true,pay_abc_wordmark,中国农业银行,pay,pay/ABC_wordmark.svg,assets/_candidates/svglogo/pay/pay_abc_wordmark.webp,https://www.abchina.com/,true,wordmark,domain_url,high,false,
chanel,Chanel,香奈儿,chanel.com,luxury_fashion,true,cosmetic_chanel,香奈儿 CHANEL,cosmetic,cosmetic/chanel.svg,assets/_candidates/svglogo/cosmetic/cosmetic_chanel.webp,https://www.chanel.cn/cn/,false,default,name_en_normalized,medium,true,
air_china,Air China,中国国际航空,airchina.com,airline_china,true,airline_airchina,中国国际航空,airline,airline/AirChina.svg,assets/_candidates/svglogo/airline/airline_airchina.webp,https://www.airchina.com.cn/,false,default,name_zh_title_exact,high,true,
china_southern_airlines,China Southern Airlines,中国南方航空,csair.com,airline_china,true,airline_chinasouthernairlines,中国南方航空,airline,airline/ChinaSouthernAirlines.svg,assets/_candidates/svglogo/airline/airline_chinasouthernairlines.webp,https://www.csair.com/cn/,false,default,domain_url,high,true,
china_eastern_airlines,China Eastern Airlines,中国东方航空,ceair.com,airline_china,true,airline_chinaeasternairlines,中国东方航空,airline,airline/ChinaEasternAirlines.svg,assets/_candidates/svglogo/airline/airline_chinaeasternairlines.webp,https://www.ceair.com/,false,default,domain_url,high,true,
china_eastern_airlines,China Eastern Airlines,中国东方航空,ceair.com,airline_china,true,airline_shanghaiairlines,上海航空公司,airline,airline/ShanghaiAirlines.svg,assets/_candidates/svglogo/airline/airline_shanghaiairlines.webp,https://www.ceair.com/,false,default,domain_url,high,false,
hainan_airlines,Hainan Airlines,海南航空,hainanairlines.com,airline_china,true,airline_hainanairlines,海南航空,airline,airline/HainanAirlines.svg,assets/_candidates/svglogo/airline/airline_hainanairlines.webp,https://www.hnair.com/ ,false,default,name_zh_title_exact,high,true,
hainan_airlines,Hainan Airlines,海南航空,hainanairlines.com,airline_china,true,airline_hainanairlines_wordmark,海南航空,airline,airline/HainanAirlines_wordmark.svg,assets/_candidates/svglogo/airline/airline_hainanairlines_wordmark.webp,https://www.hnair.com/ ,true,wordmark,name_zh_title_exact,high,false,
tsinghua_university,Tsinghua University,清华大学,tsinghua.edu.cn,education_china,unknown,school_thu,清华大学,school,school/THU.svg,assets/_candidates/svglogo/school/school_thu.webp,http://www.tsinghua.edu.cn,false,default,domain_url,high,true,
tsinghua_university,Tsinghua University,清华大学,tsinghua.edu.cn,education_china,unknown,school_thu_wordmark,清华大学,school,school/THU_wordmark.svg,assets/_candidates/svglogo/school/school_thu_wordmark.webp,http://www.tsinghua.edu.cn,true,wordmark,domain_url,high,false,
peking_university,Peking University,北京大学,pku.edu.cn,education_china,unknown,school_pku,北京大学,school,school/PKU.svg,assets/_candidates/svglogo/school/school_pku.webp,https://www.pku.edu.cn,false,default,domain_url,high,true,
peking_university,Peking University,北京大学,pku.edu.cn,education_china,unknown,school_pku_wordmark,北京大学,school,school/PKU_wordmark.svg,assets/_candidates/svglogo/school/school_pku_wordmark.webp,https://www.pku.edu.cn,true,wordmark,domain_url,high,false,
fudan_university,Fudan University,复旦大学,fudan.edu.cn,education_china,unknown,school_fdu,复旦大学,school,school/FDU.svg,assets/_candidates/svglogo/school/school_fdu.webp,http://www.fudan.edu.cn,false,default,domain_url,high,true,
fudan_university,Fudan University,复旦大学,fudan.edu.cn,education_china,unknown,school_fdu_wordmark,复旦大学,school,school/FDU_wordmark.svg,assets/_candidates/svglogo/school/school_fdu_wordmark.webp,http://www.fudan.edu.cn,true,wordmark,domain_url,high,false,
zhejiang_university,Zhejiang University,浙江大学,zju.edu.cn,education_china,unknown,school_zju,浙江大学,school,school/ZJU.svg,assets/_candidates/svglogo/school/school_zju.webp,http://www.zju.edu.cn,false,default,domain_url,high,true,
zhejiang_university,Zhejiang University,浙江大学,zju.edu.cn,education_china,unknown,school_zju_wordmark,浙江大学,school,school/ZJU_wordmark.svg,assets/_candidates/svglogo/school/school_zju_wordmark.webp,http://www.zju.edu.cn,true,wordmark,domain_url,high,false,
